Titel,Reward,Program_link,Short_Description,Is_Safe_harbor,User,Vulnearbilities_rewarded,Validation_within,Average_payout,P1_iOS_Android_API,P1_Web,P2_iOS_Android_API,P2_Web,P3_iOS_Android_API,P3_Web,P4_iOS_Android_API,P4_Web,Hall_of_famers,Num_Hacks,Scope_Target_Mobile_API,Scope_Target_Web_Targets,Cash_Out,Technology,Focus_areas
Secure the Leading Sales Engagement Platform,"$50 - $6,000",https://bugcrowd.com/programs/teasers/black-fire-29,We have been turning insights into actions that improve your …,,,,,,,,,,,,,,,,,,,,
Cloudinary,"Points - $4,000",https://bugcrowd.com/cloudinary,"Cloud image & video upload, storage, management & CDN",,,"
124
","
3 days
","
$1,480
",,,,,,,,, 404,1504 ,"$7000
P1
$2000 – $4000
P2
$500 – $2000
P3
$0 – $500",,,,
Elementor: Bug Bounty Program,"Points - $4,000",https://bugcrowd.com/elementor,"Elementor is the best FREE WordPress Website Builder, with ov…",,,"
47
","
3 days
","
$600
",,,,,,,,, 47,445 ,"$5000
P1
$2000 – $4000
P2
$500 – $2000
P3
$0 – $500","P1
$500",,,
Lamoda,"$100 - $1,600",https://bugcrowd.com/lamoda,Code the lifestyle,,,"
24
","
3 days
","
$150
",,,,,,,,, 21,130 ,"$1700
P1
$1200 – $1600
P2
$600 – $900
P3
$300 – $400
P4
$100 – $150",,,,
Nextup.ai,"$100 - $1,500",https://bugcrowd.com/nextupai,Please submit your finding to Nextup.ai's bug bounty program,,,"
8
","
$250
",,,,,,,,,,View the hall,28 ,"P1
$1500
P2
$900
P3
$300
P4
$100",,,,
Xfinity Home & xFi,"Points - $3,500",https://bugcrowd.com/xfinity-home,Xfinity Home gives you peace of mind with a total home securi…,,,"
110
","
1 day
","
$8,710
",,,,,,,,, 114,727 ,"P1
$1500 – $3500
P2
$750 – $1200
P3
$300 – $600
P4
$0 – $250",,,,
Prosus,"$100 - $1,250",https://bugcrowd.com/prosus-og,Prosus,,Solo-Only,"
7
","
5 days
",,,,,,,,,,View the hall,46 ,"P1
$800 – $1250
P2
$500 – $750
P3
$250
P4
$100","P1
$800 – $1200
P2
$500 – $750
P3
$250
P4
$100",,,
Dell Technologies' Products Bug Bounty Program,"$200 - $5,000",https://bugcrowd.com/dell-product,Submit your finding to Dell's Product Bug Bounty Program, Partial safe harbor,,"
49
","
about 1 month
","
$2,625
",,,,,,,,, 22,98 ,"P1
$5000
P2
$3000
P3
$1500
P4
$200",,"
Consumer Platforms (i.e., Inspiron, Alienware, XPS, Vostro)
Commercial Platforms  (i.e., Latitude, OptiPlex, Precision, Rugged, Latitude Education, Chrome, Wyse Thin Client) 
","
Alienware Command Center
Alienware OC Controls
Alienware Update
Dell Command Configure
Dell Command Integration Suite for System Center
Dell Command Intel vPro Out of Band
Dell Command Monitor
Dell Command Powershell Provider
Dell Command Repository Manager
Dell Command Update
Dell Core Services Cloud
Dell Customer Connect
Dell Digital Delivery
Dell Display Manager
Dell Hybrid Client
Dell Optimizer
Dell OS Recovery Tool
Dell Performance Manager
Dell Peripheral Manager
Dell Power Manager
Dell Premier Color
Dell Remediation Platform 
Dell Rugged Control Center
Dell SupportAssist OS Recovery
Dell SupportAssist for Home PCs
Dell SupportAssist for Business PCs
Dell Telemetry Platform Service
Dell Trusted Device
Dell Update
Dell Web Services
My Dell
MyDell Mobile
Wyse Management Suite
Wyse Proprietary OS (Modern ThinOS)
",
Dell Technologies Application Bug Bounty,"$50 - $2,500",https://bugcrowd.com/dell-com,"Giving you what you need to securely connect, produce, and co…",,,"
1453
","
5 days
","
$978.12
",,,,,,,,, 234,631 ,"P1
$2100 – $2500
P2
$1200 – $1500
P3
$500 – $750
P4
$50 – $100",,"
By participating in this Bug Bounty Program, you agree to be bound to the terms of this program brief (“Dell Terms & Conditions”).
These terms constitute the entire agreement between you and Dell and are governed by Texas law. Any changes to these terms must be in writing.
The intent of this Bug Bounty Program is to encourage coordinated disclosure between you and Dell. Unless required by federal law or local law enforcement, Dell does not intend to pursue litigation against research and disclosure that meets the Dell Terms & Conditions.
If legal action is initiated by a third party against you relative to the Bug Bounty Program and you are in full compliance with the Dell Terms & Conditions, Dell may at its sole discretion take reasonable steps to help make it known that your actions were conducted in compliance with this program.
Dell will not publicly disclose the identity of any researcher without their consent, except where required by law.
Dell reserves the right to change or modify the Dell Terms & Conditions at any time. Please check for any updates to this program brief before creating a new submission.
By participating in this Bug Bounty Program, you waive any rights to the confidentiality of the submitted work and, further, you agree to grant Dell an irrevocable, worldwide, royalty-free, perpetual and transferable license to use the submitted research, disclosure and materials and you waive any claims against Dell based on Dell’s license or the rights granted.
","
This program requires explicit permission from Dell to disclose the results of a submission.
Public disclosures made without written permission from Dell will make the researcher ineligible for future participation in this or other disclosure or bug bounty programs by Dell.
Rewards will not be given for submissions which are publicly disclosed without written permission from Dell.
",
Kiteworks,"$250 - $25,000",https://bugcrowd.com/kiteworks-public,Help Secure Kiteworks,,,"
15
","
5 days
","
$745
",,,,,,,,, 18,282 ,"$50000
P1
$11000 – $25000
P2
$3000 – $10000
P3
$600 – $2000
P4
$250 – $500",,,,
Halp,"$200 - $4,000",https://bugcrowd.com/halp,Halp,,,"
17
","
2 days
","
$500
",,,,,,,,,View the hall,43 ,"P1
$4000
P2
$1200
P3
$500
P4
$200",,,,
Northwestern Mutual VDP,,https://bugcrowd.com/northwestern-vdp,"For 160 years, we've helped our clients achieve financial sec…",,Solo-Only,"
6
",,,,,,,,,,, 15,36 ,,,"
Prospect - Prospective future clients who have interest in buying products from Northwestern mutual and have registered to the online platform. User should receive an online invite from a financial representative.  Prospect Users will have access only to the basic functionalities of the CX platform.
Client - Users who owns a product (Risk/investment) and registered to the Northwestern mutual online platform.  Clients can directly register in the application using their product number and Personal Information (SSN, DOB, First name and Last Name).
Insurance Clients - Users who own any of the following products will have /Insurance page with product information:  Life, DI, BDI, LTC, VL, UL, VUL, BOLI, and COLI
Investment Clients - Users who own any of the following products will have /Investment page with product information:  Brokerage, Advisory, PCS/PCS Trusts, Fixed Annuities, Variable Annuities, Income Plans, Signature Annuities, and Access Funds
",,"
 The parties to this Agreement are you and the Northwestern Mutual Life Insurance Company.
 By participating in the Program, investigating a potential vulnerability, or submitting a vulnerability, you acknowledge that you have not disclosed and agree that you will not disclose the vulnerability to anyone other than the Northwestern Mutual Life Insurance Company.  Any disclosure would violate this Agreement unless approved in writing by an authorized employee of the Northwestern Mutual Life Insurance Company responsible for cybersecurity threat detection and mitigation.  You agree that money damages may not be a sufficient remedy for a breach of this paragraph by you and that the Northwestern Mutual Life Insurance Company will be entitled to specific performance as a remedy to this breach and an injunction without the posting of a bond.    Such remedy will not be deemed to be the exclusive remedy for any such breach but will be in addition to all other remedies available at law or equity to the Northwestern Mutual Life Insurance Company.

 By submitting information about a potential vulnerability, you are granting the Northwestern Mutual Life Insurance Company a worldwide, royalty-free, non-exclusive license to use your submission for the purpose of addressing vulnerabilities in products and services offered by the Northwestern Mutual Life Insurance Company.
 In the event of substantial duplicate submissions, the Northwestern Mutual Life Insurance Company may at its discretion provide a reward only for the earliest received submission.  Eligibility for rewards, determination of the recipients for the rewards and the amount of rewards is at the discretion of the Northwestern Mutual Life Insurance Company.

 If issues reported to our bug bounty program affect a third party or another vendor, the Northwestern Mutual Life Insurance Company reserves the right to forward details of the issue along to the party without further discussion with the researcher.
 You are responsible for all taxes associated with and imposed on any reward you may receive from the Northwestern Mutual Life Insurance Company.

 If you inadvertently access proprietary customer, employee, or business related information during your testing, the information must not be used, disclosed, stored, recorded or processed any further in any way.  Inadvertent access to this type of data must be disclosed within your submission with identifying information of the data source and remediation you have taken to secure the data.
 Your research activities must not negatively impact the Northwestern Mutual Life Insurance Company’s or LearnVest’s product or services in any way or the online environment availability or performance of such products or services.
 These terms and conditions along with the specifications, requirements and restrictions set forth in the bug bounty brief constitute the entire Agreement of the parties.  This Agreement is covered by California law.  This agreement can only be amended by the Northwestern Mutual Life Insurance Company.
If any part of this Agreement is found to be illegal or unenforceable, then the parties will be relieved of their responsibilities arising under such portion, but only to the extent that such art of the Agreement is illegal or unenforceable.
You must not be the author of the code identified as a vulnerability.
You must not be an employee or spouse of an employee of the Northwestern Mutual Life Insurance Company or any of its affiliates or subsidiaries, including the Northwestern Mutual Wealth Management Company, NMIS, or LearnVest.
"
Sportradar VDP Pro,,https://bugcrowd.com/sportradar-vdp,Global leaders in understanding and leveraging the power of s…,,Solo-Only,"
93
","
3 days
",,,,,,,,,, 40,80 ,,,,,
Do you know who IAM?,"$150 - $2,500",https://bugcrowd.com/programs/teasers/falling-wave-7761,Help secure an identity and access management company's platf…,,,,,,,,,,,,,,,,,,,,
Phemex Bug Bounty,"$150 - $2,500",https://bugcrowd.com/phemex,Submit your finding to the program!,,Solo-Only,"
13
","
4 days
","
$325
",,,,,,,,, 15,148 ,"P1
$2100 – $2500
P2
$1000 – $1250
P3
$450 – $600
P4
$150 – $200",,,,
Just Eat - Managed Bug Bounty,"$150 - $3,000",https://bugcrowd.com/justeat-ogmbb,Empowering your every food moment,True,,"
136
","
4 days
","
$500
",,,,,,,,, 43,299 ,"$4000
P1
$2500 – $3000
P2
$1500 – $2000
P3
$450 – $600
P4
$150 – $200",,,,
ExpressVPN,"$150 - $2,500",https://bugcrowd.com/expressvpn,Help us improve the security and privacy of ExpressVPN users.,True,,"
79
","
3 days
","
$500
",,,,,,,,, 76,506 ,"$100000
P1
$2100 – $2500
P2
$1000 – $1250
P3
$450 – $600
P4
$150 – $200",,,,
NEOGOV Public Assets,"$100 - $3,500",https://bugcrowd.com/neohrms,"Human Resource Software, SaaS & Cloud Solutions",,,"
51
","
about 1 month
","
$166.66
",,,,,,,,, 103,262 ,"P1
$3500
P2
$1200
P3
$300
P4
$100",,,,
US Environmental Protection Agency Vulnerability Disclosure ,,https://bugcrowd.com/epa-vdp,Submit your report here!,True,,"
234
","
3 days
",,,,,,,,,, 111,178 ,,,,,
Deutsche Bank Vulnerability Disclosure Program,,https://bugcrowd.com/deutschebank-vdp,German multinational investment bank and financial services c…, Partial safe harbor,,"
19
","
4 days
",,,,,,,,,, 74,92 ,,,,,
HubSpot,"$50 - $5,000",https://bugcrowd.com/hubspot,"Marketing, Sales, and Service software platform for scaling c…",,,"
986
","
4 days
","
$554.16
",,,,,,,,, 207,1040 ,"P1
$5000
P2
$900
P3
$200
P4
$50",,,,
Under Armour Corporate,,https://bugcrowd.com/underarmour-corp,Submit your finding to Under Armour's program!,True,Solo-Only,"
5
","
3 days
",,,,,,,,,,View the hall,114 ,,,,,
DICK'S Sporting Goods,,https://bugcrowd.com/dickssportinggoods,DICK'S Sporting Goods Vulnerability Disclosure Program ,True,Solo-Only,"
138
","
1 day
",,,,,,,,,, 140,310 ,,,,,
iFood: Bug Bounty Program,"$150 - $2,500",https://bugcrowd.com/ifood-og,iFood Bug Bounty Program,True,,"
60
","
10 days
","
$728.57
",,,,,,,,, 43,245 ,"$2600
P1
$2100 – $2500
P2
$1000 – $1250
P3
$450 – $600
P4
$150 – $200",,,,
Craft Coders Marketplace Bug Bounty,"$100 - $1,500",https://bugcrowd.com/craftcoders,Submit your report here!,True,,"
4
","
11 days
","
$330
",,,,,,,,,View the hall,59 ,"P1
$1500
P2
$900
P3
$300
P4
$100",,,,
Caffeine,"$150 - $5,000",https://bugcrowd.com/caffeine,"Caffeine is a social broadcasting platform for gaming, entert…",,,"
110
","
2 days
","
$200
",,,,,,,,, 303,1301 ,"$6000
P1
$2000 – $5000
P2
$800 – $1100
P3
$350 – $600
P4
$150 – $300",,,,
Geotab: VDP,,https://bugcrowd.com/geotab-vdp,Submit your findings to this program!,,,"
71
","
1 day
",,,,,,,,,, 99,171 ,,,,,
Skroutz Public Managed Bug Bounty,"$200 - $4,500",https://bugcrowd.com/skroutz,Skroutz,,,"
20
","
2 days
","
$333.33
",,,,,,,,, 23,178 ,"P1
$4100 – $4500
P2
$1500 – $1750
P3
$600 – $850
P4
$200 – $250",,,,
Imperva Bug Bounty,"$150 - $2,500",https://bugcrowd.com/imperva-mbb,Help secure Imperva,True,Solo-Only,"
76
","
5 days
","
$592.85
",,,,,,,,, 57,230 ,"P1
$2100 – $2500
P2
$1000 – $1250
P3
$450 – $600
P4
$150 – $200",,,,
NAB's Responsible Disclosure Program,,https://bugcrowd.com/nationalaustraliabankog,Responsible Disclosure Program, Partial safe harbor,Solo-Only,"
131
","
5 days
",,,,,,,,,, 128,254 ,,,,,
Office of Navajo and Hopi Indian Relocation (ONHIR) - Vulnerability Disclosure Program ,,https://bugcrowd.com/onhir-vdp,Report ONHIR Vulnerabilities! ,True,,"
0
","
15 minutes
",,,,,,,,,,View the hall,20 ,,,,,
EXIM - Vulnerability Disclosure Program,,https://bugcrowd.com/exim-vdp,Submit your report here.,True,,"
10
","
about 2 hours
",,,,,,,,,, 22,45 ,,,,,
Rakuten VDP,,https://bugcrowd.com/rakuten-vdp,Submit your finding to Rakuten's vulnerability disclosure pro…,True,Solo-Only,"
74
","
3 days
",,,,,,,,,, 132,278 ,,,,,
eazyBI,"$100 - $1,500",https://bugcrowd.com/eazybi,eazyBI Bug Bounty Program , Partial safe harbor,,"
21
","
3 days
",,,,,,,,,, 23,209 ,"P1
$1500
P2
$900
P3
$300
P4
$100",,,,
The Coca-Cola Company Vulnerability Disclosure Program,,https://bugcrowd.com/coca-cola,"Since the first Coca-Cola was served in 1886, The Coca-Cola C…",True,Solo-Only,"
181
","
3 days
",,,,,,,,,, 180,366 ,,,,,
Leading digital transaction provider. New mobile targets introduced recently!,"$100 - $5,000",https://bugcrowd.com/programs/teasers/Jpzfw2e8eSJaYSjdN9TGiK8d,"This program has a range of Web + API targets, and now mobile…", Partial safe harbor,,,,,,,,,,,,,,,,,,,
A fantasy sports platform with over 100 million users,"$500 - $8,000",https://bugcrowd.com/programs/teasers/APnRLRQMhtdKEokr6Sd3TWEi,"Help secure our web apps, mobile apps and APIs",True,,,,,,,,,,,,,,,,,,,
Cengage VDP,,https://bugcrowd.com/cengage-vdp,Cengage Vulnerability Disclosure Program,True,Solo-Only,"
336
","
1 day
",,,,,,,,,, 212,523 ,,,"
Clickjacking on pages with no sensitive actions
Attacks requiring MITM or physical access to a user's device.
Previously known vulnerable libraries without a working Proof of Concept.
Comma Separated Values (CSV) injection without demonstrating a vulnerability.
Missing best practices in SSL/TLS configuration.
Any activity that could lead to the disruption of our service (DoS).
Content spoofing and text injection issues without showing an attack vector/without being able to modify HTML/CSS
Rate limiting or bruteforce issues on non-authentication endpoints
Missing best practices in Content Security Policy.
Missing HttpOnly or Secure flags on cookies
Missing email best practices (Invalid, incomplete or missing SPF/DKIM/DMARC records, etc.)
Vulnerabilities only affecting users of outdated or unpatched browsers [Less than 2 stable versions behind the latest released stable version]
Software version disclosure / Banner identification issues / Descriptive error messages or headers (e.g. stack traces, application or server errors).
Tabnabbing
Open redirect - unless an additional security impact can be demonstrated
Issues that require unlikely user interaction
","
Authorized in accordance with the Computer Fraud and Abuse Act (CFAA) (and/or similar state laws), and we will not initiate or support legal action against you for accidental, good faith violations of this policy;
Exempt from the Digital Millennium Copyright Act (DMCA), and we will not bring a claim against you for circumvention of technology controls;
Exempt from restrictions in our Terms & Conditions that would interfere with conducting security research, and we waive those restrictions on a limited basis for work done under this policy; and
Lawful, helpful to the overall security of the Internet, and conducted in good faith.
You are expected, as always, to comply with all applicable laws.
",
Okta,"$100 - $25,000",https://bugcrowd.com/okta,Cloud Identity and Mobility Management Service,True,,"
197
","
17 days
","
$550
",,,,,,,,, 213,781 ,"P1
$5000 – $25000
P2
$750 – $7500
P3
$100 – $1000
P4
$100 – $200",,,,
United Airlines,,https://bugcrowd.com/united-vdp,United Airlines Vulnerability Disclosure Program,True,Solo-Only,"
143
","
8 days
",,,,,,,,,, 90,310 ,,,,,
FIS,"Points - $100,000",https://bugcrowd.com/fis,"Advancing the ways the world pays, banks and invests.",True,,"
556
","
7 days
","
$4,231.06
",,,,,,,,, 122,224 ,"$100000
P1
$10000 – $25000
P2
$2500 – $10000
P3
$200 – $2500
P4
$0 – $200","P1
$100000",,,
Lbrands Victoria's Secret - VDP Pro,,https://bugcrowd.com/lbrands-vs-vdp,"An iconic specialty retail brand, Victoria’s Secret needs no …",True,Solo-Only,"
12
","
3 days
",,,,,,,,,, 47,182 ,,,,,
Federal Communications Commission: Vulnerability Disclosure Program,,https://bugcrowd.com/fcc-vdp,Report FCC Vulnerabilities! ,,Solo-Only,"
60
","
3 days
",,,,,,,,,, 106,240 ,,,,,
Department of Homeland Security: Vulnerability Disclosure Program,,https://bugcrowd.com/dhs-vdp,Report DHS Vulnerabilities! ,True,Solo-Only,"
130
","
5 days
",,,,,,,,,, 153,297 ,,,,,
National Labor Relations Board: Vulnerability Disclosure Program,,https://bugcrowd.com/nlrb-vdp,Report NLRB Vulnerabilities! ,True,Solo-Only,"
5
","
16 minutes
",,,,,,,,,, 11,30 ,,,,,
Federal Retirement Thrift Investment Board : Vulnerability Disclosure Program,,https://bugcrowd.com/frtib-vdp,Report FRTIB Vulnerabilities! ,True,Solo-Only,"
2
","
about 7 hours
",,,,,,,,,, 11,23 ,,,,,
Millennium Challenge Corporation: Vulnerability Disclosure Program,,https://bugcrowd.com/mcc-vdp,Report MCC Vulnerabilities! ,True,Solo-Only,"
15
","
about 1 month
",,,,,,,,,, 49,94 ,,,,,
United States Department of Agriculture: Vulnerability Disclosure Program,,https://bugcrowd.com/usda-vdp,Report USDA Vulnerabilities! ,True,Solo-Only,"
204
","
3 days
",,,,,,,,,, 87,150 ,,,,,
Privacy and Civil Liberties Oversight Board: Vulnerability Disclosure Program,,https://bugcrowd.com/pclob-vdp,Report PCLOB Vulnerabilities! ,True,Solo-Only,"
1
","
about 1 hour
",,,,,,,,,,View the hall,22 ,,,,,
Equal Employment Opportunity Commission: Vulnerability Disclosure Program,,https://bugcrowd.com/eeoc-vdp,Report EEOC Vulnerabilities! ,True,Solo-Only,"
1
","
3 days
",,,,,,,,,, 14,27 ,,,,,
Occupational Safety and Health Review Commission: Vulnerability Disclosure Program,,https://bugcrowd.com/oshrc-vdp,Report OSHRC Site Vulnerabilities! ,True,Solo-Only,"
11
","
3 days
",,,,,,,,,, 21,41 ,,,,,
Court Services and Offender Supervision Agency: Vulnerability Disclosure Program,,https://bugcrowd.com/csosa-vdp,Report CSOSA Vulnerabilities! ,True,Solo-Only,"
14
","
about 8 hours
",,,,,,,,,, 58,101 ,,,,,
Bullish.com,"$200 - $12,000",https://bugcrowd.com/bullish,Help Secure Bullish - a new breed of exchange,,,"
5
","
3 days
","
$300
",,,,,,,,,View the hall,220 ,"P1
$7000 – $12000
P2
$3500 – $7000
P3
$1500 – $4000
P4
$200 – $2000",,,,
AMEX - Global Business Travel Vulnerability Disclosure Program,,https://bugcrowd.com/amexgbt-vdp,We make it our business to meet your company's travel needs,True,Solo-Only,"
714
",,,,,,,,,,, 154,285 ,,,,,
Twilio,"$100 - $9,500",https://bugcrowd.com/twilio,A Cloud Communications Company,True,,"
558
","
4 days
","
$241.66
",,,,,,,,, 622,2171 ,"P1
$2500 – $8000
P2
$700 – $2500
P3
$200 – $500
P4
$100 – $150","P1
$500 – $1000
P2
$200 – $500
P3
$100 – $200
P4
$0 – $100",,,
A multinational consumer goods is looking for top talent to secure their huge attack surface!,"Points - $2,500",https://bugcrowd.com/programs/teasers/aCinC48ZuX41qsYYrDuQ5PK4,"Gigantic web scope, if you're looking to make some money this…",,,,,,,,,,,,,,,,,,,,
Unity Technology,"$100 - $3,000",https://bugcrowd.com/unity,"Unity brings state-of-the-art, affordable multiplatform tools…",,,"
251
","
13 days
","
$477.77
",,,,,,,,, 73,421 ,"P1
$2000 – $3000
P2
$750 – $1200
P3
$250 – $500
P4
$100 – $200",,,,
Smartmockups,"$100 - $6,000",https://bugcrowd.com/smartmockups,Help Secure Smartmockups,True,,"
36
","
3 days
","
$4,525
",,,,,,,,, 37,403 ,"P1
$6000
P2
$2500
P3
$850
P4
$100",,,,
Pixabay,"$100 - $6,000",https://bugcrowd.com/pixabay,Pixabay Vulnerability Disclosure Program,,,"
58
","
2 days
","
$850
",,,,,,,,, 47,446 ,"P1
$6000
P2
$2500
P3
$850
P4
$100",,,,
Pexels,"$100 - $6,000",https://bugcrowd.com/pexels,Pexels' Vulnerability Disclosure Program, Partial safe harbor,,"
30
","
3 days
","
$850
",,,,,,,,, 28,362 ,"P1
$6000
P2
$2500
P3
$850
P4
$100",,,,
Lbrands Bath & Body Works - VDP Pro,,https://bugcrowd.com/lbrands-bbw-vdp,Bath & Body Works is one of the world’s leading specialty ret…,True,Solo-Only,"
11
","
3 days
",,,,,,,,,, 41,151 ,,,,,
Phrase Vulnerability Disclosure Program,,https://bugcrowd.com/phrase-vdp,Phrase is a global localization platform, Partial safe harbor,Solo-Only,"
53
","
about 1 month
",,,,,,,,,, 75,193 ,,,,,
K15t,"$100 - $1,500",https://bugcrowd.com/k15t,Apps to Amplify the Atlassian Experience for Everybody,,,"
43
","
3 days
","
$300
",,,,,,,,, 25,96 ,,"P1
$1500
P2
$900
P3
$300
P4
$100",,,
Stiltsoft,"$100 - $3,000",https://bugcrowd.com/stiltsoft,Stiltsoft's bug bounty program,True,,"
20
","
2 days
","
$100
",,,,,,,,, 13,112 ,"P1
$3000
P2
$1800
P3
$600
P4
$200","P1
$1500
P2
$900
P3
$300
P4
$100","
Navigate to https://bitbucket.org/ and select ""Log In""
Select ""Sign Up"" and create an account with your @bugcrowdninja.com email address.
Install the Awesome Graphs app
Start testing
","
Navigate to www.atlassian.com and download Bitbucket Server or Bitbucket Data Center

Install the product and generate a trial license for Bitbucket
Install the Awesome Graphs for Bitbucket app and generate a trial license for the app. Please use your [username]@bugcrowdninja.com email alias to get the license. 
Start testing
",
Credit Karma,"$100 - $5,000",https://bugcrowd.com/creditkarma,Free Credit Scores & Credit Report Monitoring, Partial safe harbor,,"
88
","
about 1 month
","
$315.38
",,,,,,,,, 219,1064 ,"P1
$2500 – $5000
P2
$1000 – $2250
P3
$300 – $700
P4
$100 – $250","P1
$1800 – $3000
P2
$600 – $1800
P3
$200 – $600
P4
$100 – $200","
Enumerating and/or Brute Forcing Login and/or Registration.
Attacks requiring physical access to a user's device.
Lack of Exploit mitigations ie PIE, ARC, or Stack Canaries.
Path disclosure in the binary.
Lack of jailbreak detection.
Lack of binary protection (anti-debugging) controls.
Lack of root detection.
Lack of obfuscation
Lack of binary protection
OAuth ""app secret"" hard-coded/recoverable in apk.
Crashes due to malformed URL Schemes.
Snapshot/Pasteboard leakage.
Runtime hacking exploits (exploits only possible in a jailbroken environment).
User data stored unencrypted on the file system on rooted devices.
Reports from static analysis of the binary without an accompanying PoC that exploits some business logic or security control.
Bypass certificate pinning on rooted devices.
Sensitive information retained as plaintext in the device’s memory.
Shared links leaked through the system clipboard.
Any URIs leaked because a malicious app has permission to view URIs opened.
Crashes due to malformed Intents sent to exported Activity/Service/BroadcastReceiver (exploiting these for sensitive data leakage is commonly in scope).
Vulnerabilities found in a Credit Karma application that was not acquired from Credit Karma’s official Play store account.
OAuth ""app secret"" hard-coded/recoverable in apk.
Sensitive data retrieved as plaintext from disk on rooted devices.
Reports from static analysis of the binary without an accompanying PoC that exploits some business logic or security control.
",,
lululemon,"$50 - $3,000",https://bugcrowd.com/lululemon,"Breathe easy, it's on us.",,,"
212
","
3 days
","
$957.29
",,,,,,,,, 214,1000 ,,"$10000
P1
$2700 – $3000
P2
$1000 – $1200
P3
$300 – $500
P4
$50",,,
Whatfix,"$100 - $4,000",https://bugcrowd.com/whatfix,Whatfix Bug Bounty Program,True,,"
34
","
4 days
","
$800
",,,,,,,,, 34,191 ,"$5000
P1
$2100 – $4000
P2
$800 – $2000
P3
$300 – $800
P4
$100 – $200",,,,
Help an AdTech Company Stay Safe!,"$200 - $4,500",https://bugcrowd.com/programs/teasers/LpGD4WXdR2UTu2mJ9pdhUMvA,This is for a technology company that empowers buyers of adve…,True,,,,,,,,,,,,,,,,,,,
Aruba Networks Public Program,"$250 - $2,500",https://bugcrowd.com/aruba-public,People move. Networks must follow.,,,"
270
","
3 days
","
$678.81
",,,,,,,,, 138,406 ,"$5000
P1
$2500
P2
$1500
P3
$600
P4
$300",,,,
Regions Bank Vulnerability Disclosure Program ,,https://bugcrowd.com/regions-vdp,Regions Bank Vulnerability Disclosure Program , Partial safe harbor,Solo-Only,"
14
","
5 days
",,,,,,,,,, 52,136 ,,,,,
"Acorns Grow, Inc.","$200 - $3,500",https://bugcrowd.com/acorns,From acorns mighty oaks do grow,True,,"
143
","
15 days
","
$481.25
",,,,,,,,, 299,1133 ,"P1
$3500
P2
$1750
P3
$650
P4
$200",,,,
Intercom,"$150 - $5,000",https://bugcrowd.com/intercom,A fundamentally new way to communicate with your customers. I…, Partial safe harbor,,"
321
","
12 days
","
$455.88
",,,,,,,,, 264,1003 ,"P1
$5000
P2
$1500
P3
$500
P4
$150",,,,
Sprout Social,,https://bugcrowd.com/sproutsocial,A Management and Engagement Platform for Social Business,True,,"
197
","
about 9 hours
",,,,,,,,,, 237,558 ,,,,,
Cash App,"$150 - $8,000",https://bugcrowd.com/cashapp,Help Secure Cash App,,,"
25
","
3 days
","
$200
",,,,,,,,, 42,276 ,"P1
$6000 – $8000
P2
$2500 – $3000
P3
$900 – $1200
P4
$150 – $200",,,,
Web + API Applications in this OnGoing Bug Bounty Program,"$150 - $2,500",https://bugcrowd.com/programs/teasers/ovv41tyYARpWDHrCsFHLse6D,Help this Ed Tech Company protect student data ,True,,,,,,,,,,,,,,,,,,,
Kistler Vulnerability Disclosure Program,,https://bugcrowd.com/kistler-vdp,Measure. Analyze. Innovate.,True,Solo-Only,"
66
",,,,,,,,,,, 90,184 ,,,,,
Jora,"$50 - $2,500",https://bugcrowd.com/jora,Help Secure Jora, Partial safe harbor,,"
44
","
2 days
","
$100
",,,,,,,,, 76,607 ,"P1
$1000 – $2500
P2
$500 – $1000
P3
$100 – $500
P4
$50 – $100",,,,
Opera Public Bug Bounty,"$50 - $10,000",https://bugcrowd.com/opera,"Opera is a leading global internet brand with a large, engage…",,,"
114
","
2 days
","
$773.07
",,,,,,,,, 134,614 ,"P1
$3000 – $10000
P2
$500 – $3000
P3
$200 – $500
P4
$100 – $200","P1
$100 – $3000
P2
$100 – $1500
P3
$100 – $750
P4
$50 – $100",,,
20 Minuten,"$250 - $5,000",https://bugcrowd.com/twentyminuten,20 Minuten Bug Bounty Program,,,"
97
","
5 days
","
$1,233.33
",,,,,,,,, 88,582 ,"P1
$4000 – $5000
P2
$2000 – $2400
P3
$600 – $900
P4
$250 – $300",,,,
 Comcast Xfinity Vulnerability Disclosure Program,"Points - $1,250",https://bugcrowd.com/comcastvdp,"Digital Cable TV, Internet and Phone for Residential and Busi…",,,"
1046
","
3 days
","
$1,125
",,,,,,,,, 649,1214 ,"P1
$0 – $1250",,,,
